Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",106.500000,-78.200000,-90.000000,top
"C2","100n","C_0402_1005Metric",105.000000,-77.900000,-90.000000,top
"C3","100n","C_0402_1005Metric",79.200000,-85.800000,-90.000000,top
"C4","100n","C_0402_1005Metric",72.700000,-90.780000,-90.000000,top
"C5","470p","C_0402_1005Metric",104.890000,-94.000000,0.000000,top
"C6","470p","C_0402_1005Metric",144.837500,-92.450000,0.000000,top
"C7","470p","C_0402_1005Metric",96.280000,-98.700000,0.000000,top
"C8","470p","C_0402_1005Metric",136.280000,-98.800000,0.000000,top
"C9","2u2","C_0402_1005Metric",81.200000,-65.200000,0.000000,top
"C10","1u","C_0402_1005Metric",81.300000,-61.900000,0.000000,top
"C11","100n","C_0402_1005Metric",75.800000,-67.000000,-90.000000,top
"C12","10u","C_0603_1608Metric",78.600000,-55.900000,90.000000,top
"C13","10u","C_0603_1608Metric",72.100000,-58.300000,180.000000,top
"C14","10u","C_0603_1608Metric",68.900000,-65.900000,0.000000,top
"C15","10u","C_0603_1608Metric",77.000000,-55.900000,90.000000,top
"C16","10u","C_0603_1608Metric",71.400000,-60.600000,90.000000,top
"C17","10u","C_0603_1608Metric",74.000000,-55.900000,90.000000,top
"C18","10u","C_0603_1608Metric",108.490000,-61.100000,0.000000,top
"C19","10u","C_0603_1608Metric",118.245000,-70.900000,0.000000,top
"C20","10u","C_0603_1608Metric",71.400000,-63.600000,-90.000000,top
"C21","10u","C_0603_1608Metric",75.500000,-55.900000,90.000000,top
"C22","10u","C_0603_1608Metric",81.800000,-63.100000,0.000000,top
"C23","1u","C_0402_1005Metric",81.300000,-60.300000,0.000000,top
"C24","10u","C_0805_2012Metric",108.690000,-62.900000,0.000000,top
"C25","10u","C_0805_2012Metric",118.500000,-72.725000,0.000000,top
"D1","UDD32C24L01","SOD2612X120N",90.710000,-100.500000,0.000000,top
"D2","UDD32C24L01","SOD2612X120N",86.110000,-100.500000,0.000000,top
"D3","UDD32C24L01","SOD2612X120N",81.500000,-100.500000,0.000000,top
"D4","UDD32C24L01","SOD2612X120N",76.800000,-100.500000,0.000000,top
"D5","UDD32C24L01","SOD2612X120N",130.262500,-100.000000,0.000000,top
"D6","UDD32C24L01","SOD2612X120N",125.562500,-100.000000,0.000000,top
"D7","UDD32C24L01","SOD2612X120N",121.000000,-100.150000,0.000000,top
"D8","UDD32C24L01","SOD2612X120N",116.452500,-100.200000,0.000000,top
"D9","SMAJ10CA","D_SMA",100.990000,-99.000000,90.000000,top
"D10","SMAJ10CA","D_SMA",140.957500,-97.450000,90.000000,top
"D11","UDD32C24L01","SOD2612X120N",94.000000,-98.800000,90.000000,top
"D12","UDD32C24L01","SOD2612X120N",134.000000,-98.900000,90.000000,top
"D13","ASMB-TTF0-0A20B","ASMBTTF00A20B",84.600000,-56.300000,180.000000,top
"D14","BAT54W-HG3-08","SOD3716X135N",115.800000,-85.500000,180.000000,top
"D15","BAT54W-HG3-08","SOD3716X135N",127.900000,-85.162500,180.000000,top
"D16","UDD32C24L01","SOD2612X120N",119.600000,-84.300000,90.000000,top
"D17","UDD32C24L01","SOD2612X120N",131.700000,-83.962500,90.000000,top
"D18","GREEN","LED_0402_1005Metric",116.912500,-62.185000,90.000000,top
"D19","M7","DIOM5327X240N",119.112500,-63.900000,-90.000000,top
"D20","PRTR5V0U2X,215","PRTR5V0U2X",87.100000,-64.000000,0.000000,top
"F1","MF-USMF005-2","Fuse_1210_3225Metric",104.390000,-100.200000,90.000000,top
"F2","MF-USMF005-2","Fuse_1210_3225Metric",144.357500,-98.650000,90.000000,top
"J1","SHF-105-01-X-D-SM","SAMTEC_SHF-105-01-X-D-SM",71.300000,-85.000000,180.000000,top
"J2","Battery_Cell","18650_CLIP_PROTECTED",112.000000,-41.000000,0.000000,top
"J3","Conn_01x06_Socket","JST_6PIN_PH_VERTICAL_SMD",93.800000,-62.000000,90.000000,top
"J4","Screw_Terminal_01x03","PhoenixContact_MCV_1x03_P5.08mm_Vertical",147.112500,-59.020000,-90.000000,top
"J5","Screw_Terminal_01x08","PhoenixContact_MCV_1,5_8-G-3.81_1x08_P3.81mm_Vertical",102.817500,-107.357500,180.000000,top
"J6","Screw_Terminal_01x08","PhoenixContact_MCV_1,5_8-G-3.81_1x08_P3.81mm_Vertical",143.240000,-107.500000,180.000000,top
"J7","Conn_01x10_Pin","PinHeader_1x10_P2.54mm_Vertical",153.000000,-78.375000,0.000000,top
"K1","SRD-05VDC-SL-C","RELAY_SRD-05VDC-SL-C",132.212500,-64.100000,0.000000,top
"L1","2u2","L_0805_2012Metric",69.200000,-59.800000,-90.000000,top
